Emotion,content
正面,"【最满意的一点】
《最满意的地方》 今年年初刚提的<em>阿特兹</em>尊崇版最满意的地方就是2.5的排量配上6at的衔接，真的动力随踩随有，zoom的吼声是真的迷人。还有就是它的外观，都说马自达的<em>外观<em>颜值确实很惊艳</em></em>。我认为也是在b级车里比较抗打的一台了。
 
【最不满意的一点】
《最不满意的地方》最不满意的就是发动机的冷启动噪音确实比较大。我同学的那台<em>雅阁</em>同时启动，这个阿特兹的噪音表现就出来了。方向盘相比于其他车型都要重一些，这可能对女士不太友好，不过有gvc plus加速度矢量控制确实<em>操控没得说</em>
 

 
 
【空间】

空间：《空间》这台车是车厂是4米87，轴距是2米83.本人一米七，反正坐在里面腿部还有3拳距离，乘坐空间在同级里我认为是不输的，有b级车乘坐感觉，配了后排独立出风口，带有2个usb接口。长途也不用怕。空间总之一句话够用还有余
【动力】

动力：《动力》这也是我看中这台车的主要原因，2.5的自吸，放在现在小排量涡轮增压的时代，已经算是大排量了，192匹马力，超车基本无压力，跑高速后面还有绵绵不断的动力，这是小排量涡轮做不到的地方。其次还是故障率的问题，自吸的保养和维修都比涡轮要便宜一些。
【操控】

操控：《操控》我认为这台车最大得亮点就是<em>操控性非常好</em> 马自达的操控其实都不用多说，世人皆知，无论是过弯的支撑性，还是流畅性都是人车合一的感觉，油门的响应得益于这台6at的调教，非常能读懂你的心思。唯一就是<em>方向盘重</em>了一点，对女士有点不友好
【油耗】

油耗：《油耗》稳城市跑大概在8个多左右，高速在七个的样子。创驰蓝天技术还是厉害。高压缩比13：1<em>比较省油</em>
【舒适性】

舒适性：全车基本是全新的Nappa头层真皮，打孔式真皮座椅。<em>坐上去柔软舒适</em> 我觉得还是比较不错的
【外观】

外观：《外观》颜值这一块，没得说，谁看到都会觉得漂亮。我选的是混动红的设计，这是这台主打的颜色，我个人感觉非常符合年轻人又想要个性，又不过时的选择。所以马自达混动红的车漆也是红色车漆里面比较厉害的一位了。前后脸基本都是马自达的调性，家族设计，反正一眼就能看出来，它就是台马自达
【内饰】

内饰：《内饰》我买的是2.5中配车型，所以给我配了北海道的栓木和奥斯维的翻毛皮，坐在车内档次感还是蛮不错的，有了这个实心木的加持，确实不错。里面的用料都是马自达一贯的扎实，所以用料用手摸到都是软质材料包裹。中控室8英寸支持carplay和carlife，我个人感觉carplay好用些。座椅的话也就是真皮打孔的，坐的还是没话说
【性价比】

性价比：《性价比》这款2.5的中配，相比其他的同级别车来说，优惠力度要大很多。用的r19的轮廓，11个bose扬声器，add抬头显示等等。配置又要比同级车高一个档次。所以阿特兹我认为基本很难找出跟它一样具有<em>这么高的性价比</em>的车了
【为什么最终<em><em>选择这款</em></em>车】
《为什么选择这款车》买这台车回来后，越看越喜欢，起初看了众多同级车，包括<em>雅阁</em>，<em>天籁</em>，<em>凯美瑞</em>，<em>迈腾</em>。总感觉差点意思。因为自己本身比车子的操控比较看着，所以试完一圈后，开了阿特兹终于找到既可以兼顾<em>操控还可以</em>家用的车。配置也比同级别高。马自达的口碑也是有所皆知。三大件也是完全没得说。自吸+AT，耐操耐搞。"
中性,"近日，最后一辆福特<em>蒙迪欧</em>在瓦伦西亚工厂下线，该车代号为CD391，正式告别欧洲市场。在退出了美国市场以及欧洲市场之后，福特蒙迪欧正式成为了只在中国市场销售的车型。
[img1]
【1】中国特供车也没什么不好，除非销量大
可能有很多人也会觉得“中国特供车”没有什么不好。在中国市场上有特别多的特供车型，比如说大众<em>朗逸</em>，<em>宝来</em>。日产<em>轩逸</em>经典在海外国家也<em><em>停产</em></em>了，只在中国销售。但是上面我提到的在中国市场特供的车型毫无例外，销量都非常的好。
由于销量非常的好，那么厂商就愿意继续花精力和时间对它的后续车型进行研发。但是如果一款中国特供车在中国销售的不好，那么汽车厂商很有可能就会放弃这台车了。
[img2]
【2】中国中型车市场能否支撑福特蒙迪欧重生？
目前中国中型车市场两极分化非常的严重，一线的合资品牌车型销量非常的好，比如说<em>凯美瑞</em>，<em>雅阁</em>，<em>天籁</em>，<em>迈腾</em>，<em>帕萨特</em>，<em>亚洲龙</em>。甚至是豪华品牌车型，<em>宝马3系</em>，<em>奔驰C级</em>，<em>奥迪A4L</em>。年销量也都能够达到10万辆以上。而上面说的这些车型毫无例外都是全球车型，国外市场也有，中国市场也有。只是有一些车型针对中国市场加长了一些轴距而已。
第2线的汽车品牌销量就差多了，比如说马自达<em>阿特兹</em>一年的销量只有2万辆出头，福特<em>金牛座</em>一年的销量19,036辆。<em>起亚K5</em> 14,833辆。那么这些销量低的车型很有可能随着时间的推移就慢慢退出中国市场了。但是如果是一款全球车型的话，那么即使在中国市场销量不好，但在海外市场畅销的话，对于汽车厂商来说，他们后续开发这款中型车依然有很大的积极性。
[img3]
【3】新一代蒙迪欧如果年销量达不到5万辆，那么蒙迪欧也很有可能退出中国市场
而由于现在新一代福特蒙迪欧成为了中国市场特供车，如果一年的销量在中国达不到5万辆的话。那么福特汽车后续继续研发下一代蒙迪欧的积极性就大大降低了。那么很有可能也会像美国市场和欧洲市场一样，选择停产。
再加上如今新能源时代到来之后，很多厂商的中型车都开始往新能源方向转移。也不排除针对中国市场推出的福特蒙迪欧会成为最后一代燃油版的蒙迪欧。
[img4]
所以蒙迪欧今后能否继续存在下去就取决于在中国市场的销量怎么样。虽然目前新一代蒙迪欧15.98万元的<em>预售价格，获得了非常高</em>的市场关注度。
但其实目前市面上的合资品牌中型车<em>优惠幅度都已经非常大</em>了，不管是起亚K5，现代<em>索纳塔</em>，雪铁龙凡尔赛，斯柯达<em>速派</em>，还是还是雪佛兰<em>迈锐宝XL</em>，目前市场优惠幅度都非常的大，甚至十三四万元就可以购买，而且上面说的这些车型配置也都非常的丰富。
[img5]
而新一代蒙迪欧虽然15.98万元的<em>预售<em>价格不高</em></em>，但是最入门的车型配置也确实是非常的低。所以蒙迪欧能否在中国市场取得很好的成绩，还很难说。"
正面,为什么<em>君威</em>1.5t 连主动刹车都没有 我<em>想问买</em>了以后可以加装嘛
正面,首先发帖也是为了记录一下提车的喜悦，成为新<em>帕萨特</em>车主，我特别开心，从选车到<em>订车<em>提车整个过程还算顺利</em></em>。在买帕萨特前我也在大众<em>迈腾</em>和丰田<em>凯美瑞</em>之间犹豫徘徊，但是之所以选择帕萨特也是因为它的外观更吸引我，买了2.0T冰川蓝星空前脸的帕萨特，整个车子给人的感觉既运动又富有时尚气息，特别适合年轻人开，长在了我的审美点上。于是就买了这辆帕萨特。帕萨特的<em>方向盘的握感很好</em>，<em>底盘扎实</em>，操控性满意，总整体感觉比较满意。
正面,又有颜值，又<em>低油耗</em>的<em>君威</em>真香
负面,别克<em>君威</em>车子表显速度和<em>导航速度有偏差</em>正常吗？
负面,19款<em>君威</em>每次起步不知道是轮胎还是<em>刹车有异响</em>，速度起来了<em>异响又没有</em>了。
负面,"在购车之前 对比过很多的车型也试驾过很多车但最终选择的是<em>君威</em> 当初进店的时候去过各个品牌当我说到<em>君威</em>的时候他们的说辞都是<em>君威</em>油耗很大 起初我也是抱有疑虑的 直至我下定的时候这个问题就没在在意 现在更是确定了这就是一个伪命题 是一个以讹传讹的假定论
当时购买时进店的第一要求就是试驾<em>君威</em>车型而且选择的是2.0的车型 一脚油门踩下去的时候动力反馈特别的灵敏 极强的推背感  配合包裹的运动型座椅 仿佛置身于赛道 还可以随意切换<em>悬挂的软</em>硬 操控于舒适俱佳  急速便道高速转弯时候汽车的支撑性 又给我们特强的操控感觉 配合9档的<em>变速箱 动力链接顺畅</em> 几乎感觉不出<em>顿挫感</em>  下车的时候对整个车看了又看 红色的布雷博卡钳 才是真正<em>性能车</em>的标准配置 配上运动包裹性的座椅 从动力到外观和配置都体现了是一款真正的运动车型 当时头脑一热就准备下定了 而且完全不顾虑别人说的油耗的问题 确实啊一款车没有十全十美 动力和油耗怎么可能兼顾呢  ？所以就坚定了买<em>君威</em>的想法 后来在日常使用中还发现了一个有趣的现象 不管是穿运动装 还是正装都不会又特别强劲的违和感 这就是设计的魅力
最后还是回归油耗的问题  这个车即使是2.0T的车型动力如此强劲但是我正常行驶始终都可以维持在9个油到9.5个油之间 所以这个油耗问题绝对是伪命题"
正面,买车之前很多人说别克的车子扎实但是<em>油耗高</em>，现在油价又居高不下；看车的时候销售说<em>君威</em>也能开到7个多油，开了一段时间油耗差不多有八九个吧。感觉有点点高了，凑合还能接受。1.5T的<em>动力还行</em>，够用了，2.0T的话感觉自己没必要，而且据说2.0T的油耗相对来说更高，变速箱倒是九速比之前的更好，换挡更平顺了。春暖花开，开着<em>君威</em>出来看看春天的模样。
正面,"不知不觉中，我的小天天已经陪伴我一年了，一年的使用过程中最让我满意的莫过于日产的零重力座椅，舒服舒服舒服，没有对比就没有伤害，以前我的小2开俩小时腰都直不起来了，现在开多久腰都不累，屁股也不疼，真心的舒服，名副其实的移动大沙发。除了座椅还有越级的隔音，开过不少中级车和中级SUV，不敢说隔音是最好的，但绝对是排在前三的，日系的本田<em>雅阁</em>丰田<em>凯美瑞</em>都靠后站，<em>阿特兹</em>没试过，美系的隔音真的是好，不过五年后还是咱这<em>天籁</em>省心。
当时选车<em>提车比较匆忙</em>，前前后后就三天，<em>购置税补贴</em>最后三天，我犹豫了很久要不要提<em>蒙迪欧</em>，但考虑到油耗和后期的维护保养我真的不好下手，家里亲戚有开13款天籁，开过坐过，说实话不怎么感冒，平淡无奇，也许就是这平淡无奇让我重新考虑了天籁，日系，小毛病少，<em>保养便宜</em>，省心，还有就是看天籁的舒适，一天的时间，看车交钱提车，一气呵成。"
正面,事实上，不管别人怎么看<em>帕萨特</em>，在我心中，我认为这辆车仍然非常强大，而且永远强大，尽管经历了巨大的动荡，帕萨特的<em>销量仍然可以稳定</em>地跻身B级车前面的。哈哈这个还是因为那么多年的沉淀把，事实上，我认为保持现状是好的，因为汽车之间的竞争也非常激烈。我一直相信帕萨特的力量。我当时一定<em>考虑过其他车</em>，比如<em>雅阁</em><em>凯美瑞</em>，后来我还是选择了帕萨特这个车，也不是为了其他的，因为有些东西还是自己用了才知道到底是怎么样的，看别人的永远都是别人的，我觉得帕萨特这个车么虽然它看起来很年轻，但稳定和优雅的感觉依然存在！白天的行车灯看起来真漂亮。整个感觉特别强烈。整个<em>中控<em>布局也非常合理</em></em>。事实上，这个大的中控侧倾角度有点像国产车，但它真的很方便，因为帕萨特真的很容易操作中控机，而且观察倒车图像和其他信息也很方便。对于现在的车来说我觉得倒车影像和雷达是最重要的，其他的东西都是无所谓的！
正面,你们的<em>君威</em><em>空调凉</em>吗！
正面,"各位兄弟现在<em>君威</em>22款致享版<em><em>裸车价最低</em>优惠</em>多少，增城报价优惠4W,<em>多少钱</em>能落地啊！"
正面,"在考虑很久后终于下手了，喜提了我552T智享型的爱车-全新<em>君威</em>
今天我就来带大家了解一下我的爱车
全新<em>君威</em>主要增加3个配置流媒体后视镜这个配置已经在别克很多车型上配置。通过车辆尾部摄像头，将后挡风玻璃位置视线显示在流媒体后视镜上，主要在雨雪天气或者后排坐满乘客的情况下，后方视线会有影响，有了流媒体后视镜就能避免一些不必要的问题。后备箱采用电动设计，一件开启，手里拿满物品，只要触碰到后备箱别克标志就可打开后备箱，将物品放入还是很方便的手机无线充电在中央扶手前方，储物盒加配无线充电。现在手机大部分有无线充电功能，直接把手机放到储物盒内就可以给手机补充电量。避免车内都是充电线看上去很凌乱。而且安卓和苹果充电口还不一样，需要配好几条充电线放在车内。新款<em>君威</em>配备的这三个配置，都很实用，是时下最流行也<em>很实用的配置</em>而且在4S店了解到，22款<em>君威</em>和老款<em>君威</em>售价一样，优惠幅度也是一样的。简直是诚意满满呀。现在有两款发动机配置，552T与652T的发动机都搭载了9AT的变速箱，<em>提速快</em>。
设计<em>前脸是我特别喜欢</em>的，充满战斗气息，外形运动时尚，大灯特别犀利，晚上辨识度很高，盾形蜂窝进气格栅，车标两侧饰条填充，精美且富有辨识度，LED的前灯标配了日间行车灯，自动大灯，大灯高度调节，大灯延时关闭这些多重功能也是我认为特别实用的功能，再说说这车的空间，只能说很大，基本上属于B+级别的实力，电动后尾门带来了不错的体验感，即使手里拿着重物也可以轻松打开后备箱，中控台无论是做工设计还是材质用料都有着独特的美系豪华感，手机无线充电，OTA升级，语音识别控制系统，道路救援服务，倒车影像等智能系统应有尽有，并且全系终身<em>赠送免费</em>流量简直是我的爱，够大方，主副驾驶位电动六项调节，外带加热功能（女生都懂）贴心至极，后排空间以及后备箱空间也是同级别最大，只能说全新<em>君威</em>碾压同级车型，女生开着也不是很大，操作也很轻便。女士朋友们可以考虑哦
今天先说到这，我准备开着我的爱车出去春游啦"
正面,"在合资B级车里面，日系三剑客几乎是家喻户晓，也就是<em>雅阁</em>、<em>天籁</em>、<em>凯美瑞</em>。这三款车因为可靠耐用的品质，深受老百姓喜爱，但说到<em>性价比属实还差</em>点意思。而在20万级合资B级车里面，别克<em>君越</em>被称为豪华商务B级车，无论是做工或材质，甚至是行驶质感都是顶呱呱的。
外观方面，大尺寸的中网造型，表面有镀铬的饰条点缀，看起来更加精致时尚。两边是锐利的大灯，接着饰条和中网连为一体，营造出更强的视觉效果。机舱盖上散发着有力的尽显，让前脸显得更加年轻动感，透露出慢慢的力量感。
超过5米的车身设计，搭配优雅的腰线，看起来显得更加有气质。在前叶翼子板位置做有镀铬装饰，还有溜背式的车尾造型，呈现出更强的<em>高级感</em>。18寸的铝合金轮毂，表面做了灰色处理，看上去沉稳大气。车尾两边是细长的尾灯，中间是一根镀铬饰条连接，呈现出一体式的造型，和前脸达到相互呼应的效果。<em>车尾上翘起性感</em>的小鸭尾，下边是双边出气的尾喉，低调务实又不失运动感。"
正面,我是由于家里的车不行分配了，所以要挑选再买一辆车，由于我上班的话开车是没有办法接送孩子的，所以必要要再买一辆车留在家里让我老婆接送孩子运用，这辆新车首要是我开去上班，家里的那辆破车留给我老婆接送孩子，我上班开的话是比较喜爱舒适一点的车的，然后便是好控制一些，不然的话堵车要给我累死，原本工作一天都现已很累了，这款<em>君威</em>都能满意我的要求，并且是别克刚出的一款车，<em>外观上是比较漂亮</em>的，所以就下定决心买了他。
负面,网上总有人说美系车都是<em>油老虎</em>，其实现在<em>君威</em>的<em>油耗是真的不高</em>，我目前行驶了5200多KM，表显油耗7.9L百公里，安吉星上面近30天的油耗7.3L百公里。一台B级车油耗做到这样真的很不错了
正面,作为我人生中的第一款车，老爸给我选了<em>凯美瑞</em>。新一代<em>凯美瑞</em>在丰田TNGA架构下采用了全新的设计，外观设计更加时尚年轻，内饰的改变也是翻天覆地，同时空间上也比老款有所提升。老款略微老气我爸刚说的时候我还不太满意，去店里看车的时候，发现新款内饰还加入了镀铬线条装饰和钢琴烤漆饰板，在材质上，<em>凯美瑞</em>内饰采用了大量皮质、提升了<em>内饰的档次感看起来很有档次</em>也年轻。车里到处都能摸到柔软的用料包围，触手可及的地方都是软的，中控上还有触控液晶中控屏，尺寸虽不大，但功能齐全，实用性极强。在尾部，<em>凯美瑞</em>的造型也非常有个性的，尤其是两侧的尾灯设计，看上去就像是三两把锁的羽毛一样，非常犀利。
正面,"在外观上，<em>凯美瑞</em>突破了传统汽车的审美车身线条。<em>凯美瑞</em>的<em>前脸大</em>嘴式的进气格栅非常大气，并且搭配“丰田”标识，让车辆的<em>车头造型显得大</em>气，两侧车灯造型颇为犀利，全LED点亮后显得很有精神气。从俯冲式来看，新车依旧是最好看的整体外观，宽C柱的传统得以延续，大<em>轮毂造型动感</em>，视觉效果尚可。<em>车尾则是令人觉得既熟悉又简约</em>时尚，尾灯组的细节经过重新勾勒之后变得更提高了了。
[img1]
[img2]
相比于外观来说，车辆的这款车的内饰才是全新车型的灵魂之处。三幅式<em>方向盘运动感</em>充盈，还带有换挡拨片，很有驾驶乐趣。在中控还有门把手等处，使用了大量的塑料,皮质材质覆盖和包裹，摸着手感潮流，配备一块8.0英寸中控台的液晶显示屏，显示清晰且设计也比较比较细腻，前排还配备有双温区自动空调控制系统，自由调试最舒适的空间氛围。。
[img3]
<em>凯美瑞</em>的车长4885mm，车身宽度达到了1840mm，轴距2825mm，中规中矩的数据，在同级别的车型中，<em>凯美瑞</em>的轴距排在40位。<em>凯美瑞</em>双擎 2.5HQ 旗舰版的天窗提供了更大的视野，可以为后排乘客营造更好的视觉环境及良好的感光度，为整车增加了进光度。在同价位同级别的车型中，<em>凯美瑞</em>的后备箱容积排在2位。空间较为规整，没有明显的突起，整体的装载能力不错。
[img4]
丰田<em>凯美瑞</em>搭载2.5<em>自然吸气发动机（混合喷射）匹配</em>电子无级变速(E-CVT)的组合。2.5发动机搭配在<em>凯美瑞</em>上动力表现中规中矩，<em>低扭较弱</em>而且能感觉到迟滞。在12-18万中型车车型中排在77位。
<em>凯美瑞</em>的主/被动安全<em>配置很齐</em>全，包括了膝部气囊、制动力分配(EBD/CBC等)、HUD抬头显示、上坡辅助、全液晶仪表盘、制动辅助(BA/EBA/BAS等)、车道保持(LKAS)、前驻车雷达、防抱死制动(ABS)、车身稳定控制(ESP/DSC/VSC等)、<em>碰撞报警/主动</em>刹车、侧安全气帘、后驻车雷达、自动驻车、儿童座椅接口、牵引力控制(ASR/TCS/TRC等)、LED日间行车灯、胎压监测等配置。
其中，膝部气囊降低乘员在二次碰撞中车内饰对乘员膝部的伤害;制动力分配(EBD/CBC等)保证车辆的平稳安全;HUD抬头显示抬头显示都可以使驾驶员不必低头就能看清重要的信息，比如当前车速。
如果上述的数据、参配等不能全面的了解<em>凯美瑞</em>，那么我们根据历史上购买过<em>凯美瑞</em>的用户的口碑信息，可以给你更全面的参考。可以看到大家对<em>凯美瑞</em>最满意的是它的省油，另外空气净化、2.5l也都是大家喜欢它的点。
[img5]
【本文来自易车号作者小二黑的女人，版权归作者所有,任何形式转载请联系作者。内容仅代表作者观点，与易车无关】"
正面,"车身造型方面变化还是比较正向的，新款看上去更加时尚。<em>凯美瑞</em>的大嘴式中网进气格栅激进，并且搭配“丰田”标识，让车辆的前脸设计显得凌厉，两侧<em>犀利的大灯</em>设计，内部灯组错落有致，点亮时炯炯有神。从侧面来看，新车依旧是激进的外观，宽C柱的传统得以延续，另外，再配上18寸的轮毂造型，让其运动气息更加强烈了。简约的车尾凸显敢坚定的姿态，新车的分体式全LED后尾灯更加平滑。
[img1]
[img2]
相比于外观来说，车辆的这款车的内饰才是全新车型的灵魂之处。该车采用了比较运动的方向盘，瞬间提升了整车的档次，还带有换挡拨片，很有驾驶乐趣。中控区域以上使用的都是塑料,皮质材料，极大地提升了整车的档次感，配备一块8.0英寸中控台的液晶显示屏，显示清晰且设计也比较比较细腻，前排还配备有双温区自动空调控制系统，自由调试最舒适的空间氛围。皮质座椅给予乘客恰到好处的支撑和柔软舒适的触感。
[img3]
<em>凯美瑞</em>的车长4885mm，车身宽度达到了1840mm，轴距2825mm，中规中矩的数据，在同级别的车型中，<em>凯美瑞</em>的轴距排在40位。<em>凯美瑞</em>双擎 2.5HQ 旗舰版的天窗提供了更大的视野，可以为后排乘客营造更好的视觉环境及良好的感光度，为整车增加了进光度。在同价位同级别的车型中，<em>凯美瑞</em>的后备箱容积排在2位。基本能满足全家旅行的行李空间。但是并没有额外的隐藏储物空间。
[img4]
丰田<em>凯美瑞</em>搭载2.5<em>自然吸气发动机（混合喷射）匹配</em>电子无级变速(E-CVT)的组合。2.5发动机搭配在<em>凯美瑞</em>上动力表现中规中矩，<em>低扭较弱</em>而且能感觉到迟滞。在12-18万中型车车型中排在77位。
<em>凯美瑞</em>的主/被动安全<em>配置很齐</em>全，包括了膝部气囊、制动力分配(EBD/CBC等)、HUD抬头显示、上坡辅助、全液晶仪表盘、制动辅助(BA/EBA/BAS等)、车道保持(LKAS)、前驻车雷达、防抱死制动(ABS)、车身稳定控制(ESP/DSC/VSC等)、<em>碰撞报警/主动</em>刹车、侧安全气帘、后驻车雷达、自动驻车、儿童座椅接口、牵引力控制(ASR/TCS/TRC等)、LED日间行车灯、胎压监测等配置。
其中，膝部气囊降低乘员在二次碰撞中车内饰对乘员膝部的伤害;制动力分配(EBD/CBC等)保证车辆的平稳安全;HUD抬头显示抬头显示都可以使驾驶员不必低头就能看清重要的信息，比如当前车速。
为了更全面客观的了解<em>凯美瑞</em>，我们还根据历史上购买过的该车的用户的留言总结了<em>凯美瑞</em>的口碑词云，具体情况如下：
[img5]
【本文来自易车号作者piaoyang85，版权归作者所有,任何形式转载请联系作者。内容仅代表作者观点，与易车无关】"
正面,我<em>想买</em>一辆<em>凯美瑞</em>双引擎2.5领先版，想请教使用过这个车型的车友这车的优缺点怎样？尤其是比较吐槽的不足之处！谢谢车友赐教！
正面,"这段时间聚会时，每次都被朋友们说我:对于喜欢社交的小姐姐你来说，平时喜欢约上我们小聚喝喝茶和一起去近郊游玩放松心情，现在唯一差的就是一台适合你的座驾，哈哈！其实我也一直有所心动，只是不知道二十万预算能买到自己心仪的吗？有人跟我说过合资品牌的车，当时一听别克，瞬间感觉是我爸爸哪个年代喜欢的牌子吧，我当时就否决了，可是朋友说我真的是孤陋寡闻了，现在别克出了好多年轻时尚的车型，不说远的，就今年正好出了一款新<em>君威</em>，性价比天花板非它莫属，外观内饰简直就是绝绝子。
哎，真的是绕不过她们，我也就不抱希望的，周末和朋友来试驾选车看看了，刚进门就看见展车2022款<em>君威</em>，基础颜色白色，<em>车身线条分明</em>，不激进，不夸张，典型的轿跑，是我选车的标准之一。在看看内饰：卡棕鹿皮绒面座椅给人触感很豪华高级，听销售顾问跟我们介绍说：座椅是电动座椅，前排<em>座椅还可以</em>加热，不错适合冬天怕冷的我。再就是已入眼帘的是8英寸控大屏，非常清晰，LED远近光灯自动空调后排出风等功能。最后还特地跟我们讲解了一下新<em>君威</em>增加了哪些新功能，增加了流媒体后视镜，增加了一个无线充电，增加了电动尾门等等。这时候我已经有点安然不住了，要销售顾问直接跟我们安排一下试驾，个人觉得说的再多还不如体验一下试试。<em>试驾过程中发现<em>底盘质感不错</em></em>，比我以前试过<em>思域</em>的要好，整车重心也低，<em>转弯感觉很好</em>，方向盘也很精确，行驶中<em>无异响</em>，静音效果也可以，就是不知道后期跑高速时胎噪声怎样，总得来说还不错！我还特别留意了一下销售顾问说的那几个增加功能，一是，流媒体后视镜，在行驶过程中很清晰的看到后方车况，很实用。第二，无线充电，也<em>很人性化</em>的考虑，<em>充电很方便</em>，这个我很喜欢。第三，电动尾车门，只需轻轻一按即可开关后备箱门，仪式感相当到位，让小姐姐我在取放行李和物品时更加省时省力。新款<em>君威</em>还搭载新一代安吉星全时在线助理，销售顾问还当场跟我们演示了一下，真的是一下改观了我对这别克品牌的新认知，完全符合我们这年轻小姐姐的需求。
这次和朋友来试驾看车还是有很大的收获，走之前也问了销售最低的优惠价格，也都在我预算范围内，不过我还是需要回家找我的大BOSS（爸爸）要钱买单！呵呵！"
正面,"【2022年1-3月轿车销量排行榜完整版】据乘联会公布的数据显示，2022年1-3月国内轿车市场批发销量达到258.4万辆，同比增长8.2%。下面，购车网编辑带大家去看看今年一季度208款轿车的批发销量及其排名情况：
[img1]
数据显示，今年一季度累计批发销量超过3万辆（月均销量过万辆）的轿车共有25款车型，其中包括6款自主品牌轿车和19款海外品牌轿车，海外品牌依然是轿车市场上的<em>销售主力</em>。
[img2]
虽然3月份销量不佳，但日产<em>轩逸</em>依然是一季度销量最好的车型，累计销量达到116435辆，比排名第二位的宏光<em>MINI</em>多卖了将近1万辆。与去年同期相比，轩逸销量减少了8211辆，同比下降6.6%。宏光MINI销量106721辆，排名第二位，销量比去年同期增加了10047辆，同比增长10.4%。
[img3]
大众<em>朗逸</em>销量好于去年同期，以103601辆的销量排名第三位，比去年同期增加了6898辆，同比增长7.1%。
[img4]
特斯拉MODEL 3、比亚迪<em>秦</em>PLUS、丰田<em>凯美瑞</em>表现不错，销量分别为76684辆、70985辆和68904辆，排名第四至第六位，均好于去年同期的销量，同比涨幅分别达到45.0%、2297%和73.3%。
[img5]
与去年同期的94978辆相比，今年一季度<em>卡罗拉</em>的<em>销量跌幅不小</em>，只有60462辆，排名第七位，同比下跌36.3%。此外，大众<em>速腾</em>、大众<em>宝来</em>销量也远不如去年同期，销量分别只有56165辆和50056辆；丰田<em>雷凌</em>销量49698辆，也低于去年同期的62483辆。
[img6]
本田<em>雅阁</em>和日产<em>天籁</em><em>销量有所增长</em>，其中<em>雅阁</em>销量54856辆，排名第九位，高于去年同期的45747辆，同比增长19.9%；天籁销量48374辆，也高于去年同期的30904辆的<em>销量，同比增长</em>56.5%。
[img7]
自主品牌方面，除了宏光MINI和<em>秦PLUS</em>之外，长安<em>逸动</em>以40801辆的销量排名第十位，不如去年同期的54704辆的销量，同比下降7.1%；<em>名爵5</em>累计批发销量44298辆，高于去年同期的31613辆。吉利<em>帝豪</em>销量为42162辆，低于去年同期的48244辆。
[img8]
在传统豪华品牌他们，销量最好的是<em>宝马5系</em>，一季度累计销量42235辆；<em>宝马3系</em>销量34307辆，<em>奔驰E级</em>销量34169辆，<em>奥迪A4L</em>销量32752辆。其他的豪华品牌轿车累计销量都不到3万辆。
2022年1-3月208款轿车的批发销量及其排名情况，详见下表：
[img9]
[img10]"
正面,"想问一下大神<em>雅阁</em>18寸的轮毂可以装到<em>阿特兹</em>上面吗？
详细数据<em>雅阁</em>235/45/18，8J/ ET50/114.3/ 行驶速度会不会有变化，阿特兹19寸太颠了，<em>想换</em>小一寸的轮毂。"
正面,哪个安全性更好。哪个<em>动力更强</em>？哪个更好停车。有知道的吗？
负面,在<em>迈腾</em>330豪华和新<em>蒙迪欧</em>至尊版之间犹豫，纠结了好久。<em>迈腾</em>太商务了，蒙迪欧<em>大屏又不喜欢</em>。实在不知道选啥，95猴小伙，求各位建议。
正面,"1
外观
[汽车之家 新车图解] 随着中国汽车工业的飞速发展以及国内汽车制造技术的提高，这吸引了很多国外品牌纷纷向中国引进技术和生产线，甚至在国内建厂生产，想要借此降低成本。在这样的环境下，合资品牌汽车在国内大行其道，成为了国人购车避不开的选择。不知大家对合资车的好感如何，今天要给大家介绍的<em>君威</em>就是一款地道的合资车。接下来就一起来看看这辆车的表现如何吧。
[img1]
[img2]
[img3]
[img4]
[img5]
[img6]
[img7]
[img8]
2
内饰
[img9]
[img10]
[img11]
[img12]
[img13]
[img14]
[img15]
[img16]
[img17]
[img18]
[img19]
[img20]
[img21]
看完上面的实拍体验，你的心中是否还有很多的疑问呢？且听我给你总结一番。<em>君威</em>后排<em>空间表现还算不错</em>，遗憾的是地板中央有一定的凸起，侵占了中间乘客的腿部空间。这款车配备主/副驾安全气囊、前排侧气囊、被动行人保护等六项安全性配置，让用户在用车时更加安心。中控屏尺寸为8英寸，中控屏运用嵌入式的设计，造型简洁明了，实用性不错。如果你正有购车的打算，那么不妨考虑一下它。"
正面,"随着时间的磨合与自己的沉淀，最后也终于下定决定入手<em>威朗</em>，期间虽然也经历过坎坷，但还是隐藏不了拥有威朗的这份喜悦！
其实在我<em>买车之前对威朗这款</em>车的了解并不多，一开始是准备买大众<em>朗逸</em>，因为家里的车也一直都是大众的，心里对大众也是比较熟悉和认可的，但是又因为是第一次买车，所以很慎重，又继续了解了很多车。后来在看车时看到了这款威朗，一眼就中意它，<em>外形也很时尚</em>，符合年轻人的审美，配置也能拿得出手，后来深入了解后，从<em>卡罗拉</em>，朗逸，威朗中，<em>选择了威朗同为我的第一款</em>车！！"
